Mid_Year,ALT_m_weq,Thin,BC_ng/g,BC_Flux_ug/m2/y,,,lat,lon
1900.5,0.91,1,8.41547,7658.0777,,,,
1899.5,0.91,1,7.34739,6686.1249,,,,
1898.5,0.91,1,3.92016,3567.3456,,,,
1897.5,0.91,1,5.12015,4659.3365,,,,
1896.5,0.91,1,2.11308,1922.9028,,,,
1895.5,0.91,1,2.22455,2024.3405,,,,
1894.5,0.91,1,3.86813,3519.9983,,,,
1893.5,0.91,1,5.17024,4704.9184,,,,
1892.5,0.91,1,4.96221,4515.6111,,,,
1891.5,0.91,1,6.34531,5774.2321,,,,
1890.5,0.91,1,8.76223,7973.6293,,,,
1889.5,0.91,1,7.87989,7170.6999,,,,
1888.5,0.91,1,7.59868,6914.7988,,,,
1887.5,0.91,1,9.81636,8932.8876,,,,
1886.5,0.91,1,10.0847,9177.077,,,,
1885.5,0.91,1,6.24327,5681.3757,,,,
1884.5,0.91,1,5.49617,5001.5147,,,,
1883.5,0.91,1,5.33475,4854.6225,,,,
1882.5,0.91,1,4.57882,4166.7262,,,,
1881.5,0.91,1,4.74643,4319.2513,,,,
1880.5,0.91,1,6.80354,6191.2214,,,,
1879.5,0.91,1,3.50965,3193.7815,,,,
1878.5,0.91,1,1.77012,1610.8092,,,,
1877.5,0.91,1,1.01916,927.4356,,,,
1876.5,0.91,1,2.54111,2312.4101,,,,
1875.5,0.91,1,2.75338,2505.5758,,,,
1874.5,0.91,1,5.12507,4663.8137,,,,
1873.5,0.91,1,3.84944,3502.9904,,,,
1872.5,0.91,1,4.08789,3719.9799,,,,
1871.5,0.91,1,4.2956,3908.996,,,,
1870.5,0.91,1,3.67988,3348.6908,,,,
1869.5,0.91,1,4.79179,4360.5289,,,,
1868.5,0.91,1,3.46774,3155.6434,,,,
1867.5,0.91,1,4.04453,3680.5223,,,,
1866.5,0.91,1,3.21011,2921.2001,,,,
1865.5,0.91,1,2.79173,2540.4743,,,,
1864.5,0.91,1,4.60407,4189.7037,,,,
1863.5,0.91,1,3.47738,3164.4158,,,,
1862.5,0.91,1,-0.999,-0.999,,,,
1861.5,0.91,1,5.70796,5194.2436,,,,
1860.5,0.91,1,3.18838,2901.4258,,,,
1859.5,0.91,1,3.5977,3273.907,,,,
1858.5,0.91,1,4.1114,3741.374,,,,
1857.5,0.91,1,3.65083,3322.2553,,,,
1856.5,0.91,1,3.07551,2798.7141,,,,
1855.5,0.91,1,3.59262,3269.2842,,,,
1854.5,0.91,1,4.07664,3709.7424,,,,
1853.5,0.91,1,3.46806,3155.9346,,,,
1852.5,0.91,1,2.21332,2014.1212,,,,
1851.5,0.91,1,2.7538,2505.958,,,,
1850.5,0.91,1,2.77555,2525.7505,,,,
